#bytes,repetitions,t,mbs,err_speed,err_lat
0,1000.0,15.963,0.0,0.0,1.5
1,1000.0,15.932,0.061,0.005,1.475
2,1000.0,15.974,0.129,0.015,1.51
4,1000.0,15.976,0.25,0.02,1.47
8,1000.0,15.969,0.504,0.045,1.495
16,1000.0,15.964,1.005,0.095,1.48
32,1000.0,15.988,2.007,0.18,1.43
64,1000.0,16.077,3.994,0.37,1.495
128,1000.0,16.572,7.747,0.765,1.645
256,1000.0,16.732,15.346,1.48,1.625
512,1000.0,16.924,30.345,3.035,1.705
1024,1000.0,17.391,59.049,5.595,1.66
2048,1000.0,40.175,50.998,2.025,1.605
4096,1000.0,40.812,100.407,4.04,1.65
8192,1000.0,68.249,120.489,9.895,5.49
16384,1000.0,49.282,332.534,8.24,1.27
32768,1000.0,98.964,331.188,7.1,2.15
65536,640.0,102.851,638.134,35.965,5.9
131072,320.0,132.091,1001.503,173.52,20.615
262144,160.0,230.974,1137.245,97.62,20.475
524288,80.0,324.304,1620.405,141.86,28.625
1048576,40.0,511.12,2053.835,125.81,31.47
2097152,20.0,892.364,2353.021,154.905,58.69
4194304,10.0,1742.824,2417.535,292.44,213.6
8388608,5.0,3517.507,2403.953,388.51,572.805
16777216,2.0,6962.281,2427.546,401.915,1141.07
33554432,1.0,13984.139,2414.66,384.52,2196.115
67108864,1.0,27731.007,2434.637,382.32,4325.375
134217728,1.0,55332.805,2440.014,379.165,8535.47
268435456,1.0,110317.056,2448.02,379.025,16874.98
